Recipe Name,Cook Time,Yield,Calories,Main Ingredient,URL
Scotch Eggs,25.0,4.0,3172.9210845200005,Eggs,http://www.seriouseats.com/recipes/2012/03/scotch-eggs-recipe.html
Moonstruck eggs,24.0,2.0,786.91,Eggs,https://food52.com/recipes/518-moonstruck-eggs
Eggs Benedict,60.0,4.0,2863.0874999990874,Eggs,http://www.bbc.co.uk/food/recipes/eggsbenedict_9435
Deviled eggs,17.0,4.0,302.27000000002283,Eggs,http://honestcooking.com/deviled-eggs/
Scrambled Eggs,15.0,2.0,675.7639837517281,Eggs,http://www.tastingtable.com/entry_detail/chefs_recipes/16394/Scrambled_Eggs_Recipe.htm
Deviled Eggs,30.0,8.0,488.2149999966673,Eggs,http://www.cookstr.com/recipes/devilled-eggs-2
Deviled Eggs,131.0,24.0,1619.791625000044,Eggs,http://www.marthastewart.com/354137/deviled-eggs
Eggs Benedict,25.0,4.0,2263.929765916667,Eggs,http://chezus.com/2014/04/07/eggs-benedict/
Deviled Eggs,45.0,12.0,1164.452999999689,Eggs,https://www.realsimple.com/food-recipes/browse-all-recipes/deviled-eggs
Poached Eggs,5.0,4.0,247.76000000000002,Eggs,http://www.delish.com/cooking/recipe-ideas/recipes/a19394/poached-eggs-recipe-del0312/
Poached Eggs,15.0,4.0,310.132,Eggs,https://www.foodnetwork.com/recipes/poached-eggs-3592259
Poached Eggs,15.0,6.0,434.364,Eggs,http://www.myrecipes.com/recipe/poached-eggs-1
Eggs Benedict,35.0,10.0,2361.211605066503,Eggs,https://www.menshealth.com/recipes/eggs-benedict-0
Green Eggs,20.0,4.0,371.0672,Eggs,https://elanaspantry.com/green-eggs/
Deviled Eggs,40.0,24.0,1442.1311502499414,Eggs,http://www.goodhousekeeping.com/food-recipes/a15482/deviled-eggs-recipe-wdy1213/
"""Pouched"" Eggs",27.0,4.0,1182.1679999983646,Eggs,https://food52.com/recipes/15662-pouched-eggs
Scrambled Eggs,20.0,4.0,317.55042599999996,Eggs,http://www.marthastewart.com/945345/scrambled-eggs
Eggs Florentine,40.0,2.0,1306.301583333305,Eggs,http://www.bbc.co.uk/food/recipes/eggsflorentine_88979
Eggs Benedict,30.0,4.0,1313.4497936,Eggs,http://www.cookstr.com/recipes/eggs-benedict-victoria-blashford-snell
Southwestern Eggs,15.0,4.0,2507.6404890500003,Eggs,https://www.realsimple.com/food-recipes/browse-all-recipes/southwestern-eggs
Eggs Benedict Deviled Eggs,20.0,12.0,778.59299999602,Eggs,https://www.foodnetwork.com/recipes/giada-de-laurentiis/eggs-benedict-deviled-eggs-2661872
Deviled Eggs,27.0,6.0,738.1356666616275,Eggs,http://www.myrecipes.com/recipe/deviled-eggs-8
Special Eggs,173.0,4.0,2751.980824,Eggs,https://food52.com/recipes/4138-special-eggs
Coddled Eggs,25.0,4.0,342.32181720179113,Eggs,http://www.marthastewart.com/337829/coddled-eggs
Crabmeat Deviled Eggs,80.0,12.0,1822.5631251625,Eggs,http://www.goodhousekeeping.com/food-recipes/a10911/crabmeat-deviled-eggs-recipe-clv0611/
